Designator,Mid X,Mid Y,Rotation,Layer
BT1,87.07,-79.121,90.0,top
D1,106.3784,-96.471,270.0,top
ENC1,96.252495,-95.752921,0.0,top
J1,95.590295,-74.6,0.0,top
J2,87.9,-39.3,0.0,top
JP1,105.750295,-71.996449,90.0,top
JP10,86.2,-74.696449,90.0,top
JP11,88.74,-74.696449,90.0,bottom
JP12,86.2,-74.696449,90.0,bottom
JP2,103.210295,-72.00138,90.0,top
JP3,98.130295,-72.00138,90.0,top
JP4,95.590295,-71.996449,90.0,top
JP5,105.750295,-71.996449,90.0,bottom
JP6,103.210295,-71.996449,90.0,bottom
JP7,98.143295,-71.996449,90.0,bottom
JP8,95.590295,-71.996449,90.0,bottom
JP9,88.74,-74.696449,90.0,top
MCU1,100.670295,-51.16973,0.0,top
Pw1,84.74544,-57.786545,270.0,top
RSW1,84.95,-67.625,90.0,top
SW1,120.5,-50.0,0.0,top
SW10,177.6,-66.6,0.0,top
SW11,196.7,-71.3,0.0,top
SW12,215.7,-72.8,0.0,top
SW13,120.5,-88.1,0.0,top
SW14,139.5,-85.7,0.0,top
SW15,158.6,-84.4,0.0,top
SW16,177.6,-85.7,0.0,top
SW17,196.7,-90.5,0.0,top
SW18,215.7,-92.0,0.0,top
SW19,120.5,-107.1,0.0,top
SW2,139.5,-47.6,0.0,top
SW20,139.5,-104.8,0.0,top
SW21,158.6,-103.4,0.0,top
SW22,177.6,-104.8,0.0,top
SW23,196.7,-109.5,0.0,top
SW24,215.75,-111.0,0.0,top
SW25,100.870917,-119.196557,30.0,top
SW26,110.370917,-135.651039,30.0,top
SW27,130.0,-126.0,0.0,top
SW28,149.0,-123.75,0.0,top
SW29,168.1,-123.75,0.0,top
SW3,158.6,-46.21,0.0,top
SW4,177.6,-47.6,0.0,top
SW5,196.7,-52.4,0.0,top
SW6,215.7,-53.9,0.0,top
SW7,120.5,-69.1,0.0,top
SW8,139.5,-66.7,0.0,top
SW9,158.6,-65.3,0.0,top
TH1,86.0,-85.0,0.0,top
TH2,108.0,-85.0,0.0,top
TH3,129.6,-59.6,0.0,top
TH4,205.8,-61.8,0.0,top
TH5,129.6,-97.6,0.0,top
TH6,205.8,-100.0,0.0,top
TH7,94.643,-108.204,90.0,top
